Objekt	Knr/gnr/bnr/f/S	Gnr	Bnr	Address	Bydel	Navn	Kommunal forvalter	Tomteareal	Byggareal	lat	lng
Bygg	0301-2/165/0/0	2	165	FREDRIKSBORGVEIEN 13A, OSLO, NORWAY	Frogner	KOMMUNALE BOLIGER	Boligbygg Oslo KF		362.0	59.9030389	10.6863272
Bygg	0301-2/165/0/0	2	165	FREDRIKSBORGVEIEN 13B, OSLO, NORWAY	Frogner	KOMMUNALE BOLIGER	Boligbygg Oslo KF		330.0	59.90316989999999	10.6859342
Bygg	0301-11/11/0/0	11	11	SØRKEDALSVEIEN 169A, OSLO, NORWAY	Vestre Aker	Kommunale boliger	Boligbygg Oslo KF		494.0	59.946474	10.6492528
Bygg	0301-27/1212/0/0	27	1212	GRAVDALSVEIEN 10D, OSLO, NORWAY	Vestre Aker	MØLLEPLASSEN	Boligbygg Oslo KF		128.0	59.9549063	10.6323314
Bygg	0301-28/1044/0/0	28	1044	VÆKERØVEIEN 119C, OSLO, NORWAY	Ullern	KOMMUNALE BOLIGER	Boligbygg Oslo KF		203.0	59.9345987	10.6401134
Bygg	0301-28/99/0/0	28	99	BLOKKAVEIEN 1A, OSLO, NORWAY	Ullern	KOMMUNALE BOLIGER	Boligbygg Oslo KF		408.0	59.9230984	10.6521039
Bygg	0301-28/99/0/0	28	99	BLOKKAVEIEN 1B, OSLO, NORWAY	Ullern	KOMMUNALE BOLIGER	Boligbygg Oslo KF		455.0	59.92303969999999	10.6525057
Bygg	0301-29/139/0/0	29	139	ULLERNCHAUSSÉEN 50B, OSLO, NORWAY	Ullern	KOMMUNALE BOLIGER	Boligbygg Oslo KF		416.0	59.93171539999999	10.6677268
Bygg	0301-29/748/0/0	29	748	GRÅBRØDREVEIEN 16E, OSLO, NORWAY	Ullern	KOMMUNALE BOLIGER	Boligbygg Oslo KF		179.0	59.92992449999999	10.6671365
Bygg	0301-31/325/0/0	31	325	HOVSETERVEIEN 86A, OSLO, NORWAY	Vestre Aker	KOMMUNALE BOLIGER	Boligbygg Oslo KF		2835.0	59.95045529999999	10.6543593
Bygg	0301-31/327/0/0	31	327	HOVSETERVEIEN 104A, OSLO, NORWAY	Vestre Aker	KOMMUNALE BOLIGER	Boligbygg Oslo KF		2839.0	59.95168990000001	10.6538926
Bygg	0301-31/329/0/0	31	329	HOVSETERVEIEN 94A, OSLO, NORWAY	Vestre Aker	KOMMUNALE BOLIGER	Boligbygg Oslo KF		1866.0	59.95148620000001	10.6548652
Bygg	0301-31/329/0/0	31	329	HOVSETERVEIEN 92A, OSLO, NORWAY	Vestre Aker	KOMMUNALE BOLIGER	Boligbygg Oslo KF		1866.0	59.95121270000001	10.6546546
Bygg	0301-33/1547/0/0	33	1547	DALSVEIEN 31B, OSLO, NORWAY	Vestre Aker	FAGERHOLT BOSENTER	Boligbygg Oslo KF		324.0	59.94662159999999	10.6895648
Bygg	0301-33/1719/0/0	33	1719	FROGNERSETERVEIEN 68A, OSLO, NORWAY	Vestre Aker	KOMMUNALE BOLIGER	Boligbygg Oslo KF		522.0	59.9575498	10.6877305
Bygg	0301-42/146/0/0	42	146	SOGNSVANNSVEIEN 34A, OSLO, NORWAY	Nordre Aker	KOMMUNALE BOLIGER	Boligbygg Oslo KF		296.0	59.95294939999999	10.7156697
Bygg	0301-47/376/0/0	47	376	NEDRE ULLEVÅL 20, OSLO, NORWAY	St. Hanshaugen	KOMMUNALE BOLIGER	Boligbygg Oslo KF		260.0	59.94038199999999	10.7357166
